5 10
1 6 4.58
2 9 7.86
1 9 4.01
4 10 2.38
1 8 7.28
5 10 1.41
7 8 4.72
0 11 6.34
3 6 9.04
9 10 6.84
7 9 7.63
2 8 7.55
5 7 2.00
7 10 9.69
0 10 1.62
8 11 2.93
3 9 4.64
2 4 6.62
2 10 8.51
3 11 2.59
3 8 6.67
2 7 7.34
6 10 9.96
3 4 3.08
9 11 4.73
1 2 4.82
5 6 8.93
1 7 3.02
5 8 7.90
3 7 5.16
0 2 1.09
8 10 8.63
0 3 2.22
2 3 1.98
4 9 3.46
1 11 6.74
#END#
13 78
8 11 5.63
2 11 5.94
4 12 7.10
1 4 2.54
8 9 8.88
4 5 8.10
6 10 3.47
1 6 4.16
5 7 1.74
5 6 9.64
6 12 4.42
2 10 7.19
7 9 3.04
8 10 7.05
5 9 6.14
6 11 4.91
0 11 3.19
4 9 8.93
4 7 5.21
1 5 2.85
1 9 5.97
1 7 1.73
5 8 9.80
2 3 4.54
0 3 6.92
2 5 8.01
7 10 6.55
2 12 9.61
0 10 6.57
6 8 3.37
2 8 2.10
2 9 8.56
4 10 7.54
3 10 4.76
0 9 3.96
1 8 4.67
10 11 2.29
1 12 2.06
9 12 5.17
11 12 7.89
7 8 1.73
2 6 6.30
0 8 7.00
1 11 9.33
0 1 2.97
2 4 1.77
9 11 2.39
0 6 8.95
3 8 1.67
6 9 7.75
10 12 9.51
3 7 7.32
3 11 6.32
0 2 7.47
5 12 7.53
3 9 3.56
0 12 5.72
7 12 7.52
7 11 9.79
4 6 8.54
0 7 6.92
1 2 1.85
4 8 8.47
0 5 5.89
3 12 7.56
5 10 1.18
3 5 7.99
9 10 5.61
1 10 5.49
2 7 5.93
0 4 2.28
6 7 6.45
5 11 9.52
3 4 4.70
8 12 6.99
1 3 3.77
3 6 1.02
4 11 6.52
#END#
14 91
4 7 5.35
3 5 6.16
5 8 1.24
8 13 2.97
3 11 6.91
4 8 1.53
5 6 5.92
1 12 6.85
1 2 1.75
5 10 7.69
9 12 2.19
3 9 5.77
0 11 1.34
4 13 4.07
0 2 6.74
4 5 2.14
7 12 9.29
2 12 9.14
8 10 8.91
5 9 2.31
6 9 6.58
0 6 1.40
2 6 9.75
2 10 10.00
6 13 3.57
5 11 6.66
2 8 4.89
5 13 6.70
8 9 3.35
4 9 5.31
0 8 1.80
1 13 6.57
3 4 7.62
1 10 5.72
0 5 4.02
0 7 4.35
0 1 8.30
5 7 5.10
1 11 3.56
8 11 1.31
6 7 1.89
7 10 7.41
6 12 4.84
3 10 7.29
3 7 2.72
7 13 7.84
6 11 6.56
11 13 6.72
2 7 9.20
0 9 6.50
2 3 6.90
5 12 5.69
7 9 9.80
1 8 4.46
3 8 8.43
1 7 7.06
1 9 4.52
8 12 1.22
4 12 7.61
6 8 7.76
1 4 2.85
9 10 7.60
1 5 5.98
12 13 4.79
4 6 9.12
10 11 6.40
9 13 2.86
2 9 4.69
11 12 6.32
2 11 4.72
3 13 4.97
7 8 9.96
4 10 8.08
0 13 1.77
0 12 5.29
9 11 2.44
3 12 6.87
7 11 4.05
0 4 9.38
10 13 3.37
0 3 2.52
3 6 8.48
2 13 10.00
2 4 5.02
6 10 2.40
0 10 8.27
1 3 5.74
1 6 6.17
4 11 4.40
2 5 7.56
10 12 1.78
#END#
15 105
0 12 3.82
3 8 9.02
3 9 4.85
8 10 8.13
3 7 8.77
2 7 5.90
1 11 7.88
9 13 7.77
7 8 6.78
3 12 4.43
0 11 1.40
1 3 1.70
5 8 9.03
1 13 6.22
2 4 4.86
3 5 5.54
12 13 7.59
0 4 6.69
6 10 6.01
6 8 4.20
8 14 7.62
0 3 5.55
10 11 5.83
7 13 9.35
0 7 2.68
9 12 2.93
1 14 6.76
2 14 6.13
8 12 7.30
4 5 3.97
0 6 2.71
5 12 6.01
2 10 6.34
10 13 4.54
3 14 2.71
5 13 9.79
2 11 5.77
10 14 5.98
2 3 5.00
7 11 8.45
7 14 2.65
4 13 6.02
1 9 4.65
6 9 7.53
3 10 8.70
7 12 4.20
5 10 8.40
4 12 4.25
6 13 6.72
5 14 3.92
0 8 6.07
0 1 2.04
9 11 3.69
6 12 1.84
5 7 8.28
6 14 2.19
11 12 3.72
9 10 1.85
12 14 6.39
11 14 8.76
3 6 6.86
5 9 1.41
4 14 4.68
4 8 8.18
6 11 4.26
0 5 2.10
3 13 3.31
0 14 3.38
7 9 2.45
1 6 3.79
3 11 7.21
1 7 9.12
4 11 7.20
0 13 3.99
1 10 8.63
3 4 5.33
5 11 1.79
1 8 9.84
2 13 1.73
8 11 2.44
1 4 5.43
9 14 8.81
1 2 4.29
2 6 3.10
2 8 5.95
4 6 8.23
13 14 4.73
4 7 7.27
1 5 1.29
0 2 3.02
2 12 2.56
1 12 2.54
11 13 3.44
10 12 9.85
4 9 5.91
0 10 6.01
8 13 2.99
7 10 6.03
4 10 3.96
5 6 7.51
6 7 2.19
0 9 1.70
8 9 8.72
2 9 4.61
2 5 9.00
#END#
16 120
4 8 4.33
6 9 5.36
0 12 6.46
0 14 2.39
2 8 7.45
10 15 2.90
1 6 3.51
4 13 9.25
1 12 9.23
3 8 3.96
10 12 5.74
14 15 9.91
8 12 2.52
11 14 1.63
7 11 9.77
11 15 7.66
0 8 1.68
2 10 4.82
0 10 5.35
3 7 8.38
6 14 1.44
1 2 2.18
1 7 3.89
1 10 1.50
13 15 3.37
12 15 4.95
0 13 4.12
6 15 7.66
3 11 2.24
11 12 1.13
2 4 7.77
0 1 4.00
5 13 7.94
11 13 5.05
8 13 5.47
8 14 3.36
5 11 6.47
1 14 8.02
4 6 6.28
2 14 8.80
6 8 8.77
5 8 2.54
0 15 4.23
0 4 9.02
10 14 4.34
5 7 6.73
1 13 2.70
1 9 7.96
1 4 3.68
9 13 8.19
3 15 8.40
0 6 8.55
0 2 1.43
9 15 1.18
2 9 9.99
3 12 9.32
4 5 6.00
5 10 1.96
2 5 6.08
7 8 8.69
3 10 2.79
4 14 7.38
12 14 7.89
3 9 3.87
6 11 7.07
3 6 8.93
0 11 6.65
4 10 6.31
10 11 3.62
13 14 3.35
0 5 4.73
1 3 7.40
2 7 2.97
9 10 8.39
0 3 8.19
4 9 8.00
7 9 1.77
6 10 8.23
3 13 7.96
7 12 1.84
8 9 6.51
1 5 1.48
7 10 5.58
5 12 8.51
4 11 3.69
6 12 8.66
8 15 2.85
6 7 5.43
12 13 2.23
1 15 9.90
7 13 1.28
5 15 2.81
10 13 6.33
2 12 9.63
7 15 2.17
4 7 7.76
5 9 6.54
2 15 2.35
4 15 3.00
4 12 1.22
1 8 6.70
2 13 7.39
9 12 1.59
8 10 9.78
6 13 4.31
2 6 2.07
3 14 4.76
1 11 4.16
5 14 7.43
9 14 5.68
0 9 3.86
2 11 8.65
3 4 9.10
5 6 6.47
3 5 4.97
0 7 2.98
7 14 4.81
9 11 7.00
8 11 9.38
2 3 6.75
#END#
17 136
3 6 7.84
2 6 1.28
6 7 8.70
0 3 5.81
2 10 2.15
1 2 7.93
0 7 9.17
4 16 3.99
0 4 6.28
6 15 1.21
2 16 8.10
8 12 5.00
0 12 6.95
2 7 1.29
6 12 8.96
0 2 5.97
0 13 6.08
12 14 9.18
8 13 7.84
1 4 7.21
6 13 2.49
8 11 7.34
4 5 2.15
2 4 9.54
14 15 9.14
0 11 5.17
10 11 7.96
1 8 5.07
9 15 4.00
5 10 8.48
11 14 5.90
6 16 2.21
5 15 6.49
12 13 2.73
4 8 4.12
7 13 7.18
5 6 1.19
2 11 8.09
4 15 3.41
12 16 5.20
0 16 6.50
10 13 7.06
4 6 2.99
0 5 5.21
5 14 5.38
7 11 8.00
7 15 8.82
3 13 7.97
2 5 3.92
2 13 8.82
7 12 2.43
4 13 5.16
3 7 3.74
15 16 6.65
0 14 2.53
7 8 3.11
3 10 8.12
3 11 3.80
1 16 6.51
7 9 9.59
10 16 6.36
5 13 7.41
4 12 7.68
6 10 5.65
8 14 4.20
2 9 7.49
1 14 6.37
1 6 3.93
7 10 2.56
0 15 9.55
13 16 1.50
3 8 9.41
9 14 1.38
7 14 6.49
8 16 9.77
6 14 1.26
6 11 7.23
2 3 7.92
0 8 5.25
2 14 3.16
1 5 4.06
0 1 7.51
3 15 8.75
5 11 9.14
5 8 4.88
6 8 4.42
3 16 1.40
0 9 5.40
1 12 1.02
3 9 1.79
4 7 1.42
11 13 2.65
14 16 9.13
2 15 8.48
13 14 2.32
1 10 8.73
9 13 8.72
1 13 2.26
0 10 5.73
10 15 3.72
7 16 9.36
8 9 5.55
9 16 9.06
4 9 7.94
4 14 5.96
2 12 2.10
11 12 5.78
8 10 7.17
1 3 6.25
8 15 4.38
5 12 1.08
4 10 7.34
1 7 2.86
6 9 4.96
1 9 9.93
3 14 5.00
2 8 8.91
11 15 6.33
3 5 9.13
4 11 5.11
3 4 9.55
5 7 7.01
1 11 8.34
12 15 3.60
5 16 8.26
1 15 8.84
11 16 9.30
9 12 5.60
9 10 3.74
10 14 1.71
3 12 7.66
0 6 5.23
10 12 5.98
9 11 9.92
5 9 1.63
13 15 6.75
#END#
18 153
4 10 4.14
8 12 6.35
0 4 5.60
3 16 2.33
4 14 6.00
3 10 3.97
6 12 7.96
1 14 2.62
1 2 9.92
0 5 7.41
2 4 2.24
7 9 3.22
5 14 9.72
0 16 8.21
11 16 8.66
5 15 3.28
15 16 8.91
1 4 6.86
3 13 1.65
3 8 9.63
1 9 9.33
12 13 8.80
0 11 1.91
3 11 6.83
0 14 3.42
7 16 7.86
4 13 6.82
1 5 6.46
5 13 2.43
1 3 8.05
2 11 8.04
11 12 3.47
13 14 7.30
0 15 8.17
10 11 3.18
3 4 5.95
1 8 8.03
2 6 3.31
4 17 9.08
7 13 9.54
3 15 8.21
3 6 9.53
12 14 4.30
4 12 7.39
14 17 1.44
5 6 3.44
6 9 8.53
4 7 6.59
2 15 1.03
2 14 9.59
2 7 7.58
2 8 1.19
5 16 3.77
7 12 5.76
6 15 4.69
0 1 5.54
15 17 2.18
1 16 6.16
0 17 6.28
4 11 8.51
8 17 5.63
2 13 5.67
1 11 7.33
9 16 3.61
8 10 2.28
11 15 6.20
4 8 6.85
10 12 7.99
4 9 9.07
5 17 1.13
14 15 6.49
0 9 4.60
16 17 3.50
6 13 1.91
9 10 5.08
0 3 8.86
5 10 4.17
2 5 4.17
8 16 9.74
8 13 8.47
7 11 2.50
4 16 3.34
7 8 2.57
5 7 2.61
5 8 9.55
9 12 9.38
5 11 5.73
1 7 3.97
10 13 5.97
0 13 9.02
12 15 8.09
0 6 5.02
10 17 1.18
10 16 8.24
1 13 2.35
3 5 6.61
4 5 7.76
7 17 9.29
6 16 1.83
9 11 5.34
5 9 8.03
2 16 9.20
9 13 7.97
2 3 5.51
9 14 6.23
6 14 4.49
8 9 6.26
7 15 1.73
13 17 4.37
13 16 7.64
0 12 4.03
12 16 2.77
6 17 4.16
8 14 8.93
3 14 9.54
11 14 9.63
12 17 1.84
6 8 6.56
8 15 8.08
0 8 8.79
6 7 3.13
1 10 6.75
0 7 8.03
2 12 4.51
2 10 2.23
13 15 3.97
5 12 2.13
2 17 4.89
3 17 2.66
7 14 6.20
1 6 6.10
0 10 2.23
10 15 4.89
1 17 8.60
9 15 6.97
8 11 8.03
11 17 3.97
6 10 6.36
4 6 2.64
3 12 5.55
1 12 1.05
0 2 5.65
1 15 6.48
7 10 5.81
10 14 9.96
2 9 8.51
11 13 2.08
4 15 4.24
6 11 5.23
3 7 2.53
9 17 7.12
14 16 6.69
3 9 8.11
#END#
19 171
5 15 5.79
13 15 2.39
9 17 7.32
5 9 2.56
0 4 4.54
1 8 5.03
1 13 9.55
1 16 7.83
8 13 6.13
4 18 4.19
8 12 3.34
16 17 7.57
2 11 7.65
3 4 4.59
6 12 1.94
0 16 7.22
8 18 7.49
10 15 6.37
0 8 8.89
4 6 7.66
3 18 2.62
10 18 2.84
3 6 9.84
9 16 8.95
3 7 5.83
6 18 9.68
2 7 8.15
11 18 6.01
12 14 8.49
11 14 6.69
0 6 5.95
6 16 7.00
4 5 7.61
0 10 7.41
2 15 9.29
1 14 4.95
4 8 7.25
5 8 6.87
7 15 2.14
12 15 8.75
1 4 2.20
8 16 5.89
4 17 3.93
9 12 9.25
2 13 6.08
9 10 1.65
11 13 4.67
10 11 1.42
0 7 3.47
1 5 8.24
2 10 1.94
10 13 9.63
0 13 2.32
10 14 6.58
2 6 2.28
7 10 7.95
7 18 5.91
0 17 8.00
3 9 3.34
14 18 6.38
0 12 7.83
7 13 2.39
2 12 9.40
0 15 3.06
11 16 4.66
5 16 1.91
9 15 3.56
12 16 8.42
3 15 6.92
1 12 7.81
0 14 6.38
12 17 9.60
6 13 8.35
11 15 9.42
1 3 8.04
17 18 2.16
6 7 3.72
3 11 9.24
3 13 6.65
0 3 1.55
11 17 9.00
7 9 8.46
8 14 8.07
1 6 9.97
5 14 3.36
14 17 6.77
2 9 4.03
13 17 8.86
5 17 7.15
4 11 1.03
6 17 9.93
6 9 5.85
12 18 5.84
5 6 9.18
14 16 1.13
7 12 1.39
10 17 4.65
9 14 5.66
9 11 8.53
5 12 4.79
5 11 1.02
8 11 2.62
13 16 5.40
8 15 8.48
9 18 8.70
2 14 4.79
14 15 8.33
9 13 9.33
0 11 1.41
8 9 8.73
5 10 6.91
2 4 3.93
1 18 5.43
1 2 3.82
4 7 9.78
7 14 7.99
1 7 3.35
6 14 8.32
4 15 9.29
0 18 9.41
3 17 8.62
4 14 1.11
5 13 7.20
6 8 4.38
7 16 8.65
8 17 3.91
2 17 4.06
2 8 2.28
16 18 6.41
7 8 3.02
5 7 7.19
7 17 8.57
15 18 4.78
6 11 5.84
2 3 9.69
1 10 8.71
0 5 4.80
3 12 6.58
1 11 6.62
15 17 8.22
3 16 1.88
0 1 4.84
13 18 4.16
3 14 6.78
13 14 8.00
2 16 8.74
8 10 5.96
6 10 2.17
15 16 7.47
3 5 4.96
3 8 3.61
4 13 3.96
4 9 4.06
4 10 7.08
12 13 6.37
5 18 3.20
3 10 7.33
2 18 3.27
1 15 4.67
4 16 1.85
2 5 9.12
10 12 8.65
0 9 5.15
4 12 8.16
1 17 1.27
7 11 5.37
6 15 6.93
1 9 7.83
0 2 8.85
11 12 2.19
10 16 3.74
#END#
20 190
13 19 9.88
10 17 7.42
0 1 7.22
0 14 5.87
5 15 9.21
4 18 2.94
2 10 4.70
4 12 8.70
4 9 6.39
10 14 2.00
8 16 3.68
0 17 6.76
0 3 8.42
4 15 1.81
7 18 1.54
1 5 1.52
13 17 3.55
3 11 5.26
8 17 3.71
14 15 7.48
6 15 3.27
15 17 8.32
4 16 4.77
9 18 5.55
17 19 5.06
7 11 6.19
3 14 4.70
11 14 6.76
7 14 9.72
5 12 4.18
6 18 1.37
1 16 4.14
1 2 8.24
2 19 9.54
0 16 6.17
3 9 4.60
9 13 8.21
14 18 4.85
10 16 9.92
4 13 4.29
5 18 8.36
2 12 6.39
9 11 7.78
2 11 4.30
1 15 1.67
1 18 6.26
8 13 2.20
8 19 6.15
0 10 3.28
5 11 4.69
4 5 6.79
10 18 7.86
4 6 2.11
5 10 3.16
3 4 5.18
13 16 4.10
7 16 7.96
15 19 3.62
12 19 7.70
11 18 3.47
13 14 2.61
13 18 2.66
7 12 4.13
7 9 5.99
1 13 8.02
2 9 5.01
6 11 3.83
11 16 8.70
0 5 8.44
3 7 8.38
9 14 1.04
12 13 9.21
0 18 1.08
3 17 4.33
7 17 7.41
4 10 6.88
6 8 8.70
6 19 8.47
10 19 1.37
2 7 7.67
8 15 6.03
10 13 6.08
6 14 5.11
0 8 7.84
2 18 2.57
2 5 5.56
0 7 7.22
2 14 6.96
7 10 2.05
9 12 9.56
11 12 6.43
5 6 9.34
1 17 7.75
6 16 4.89
1 8 5.32
5 19 2.40
6 7 1.10
12 14 1.94
3 15 8.15
7 19 3.26
4 19 4.03
12 18 5.51
0 19 8.32
5 16 6.08
14 19 3.72
17 18 6.17
0 4 6.33
8 11 9.12
1 6 7.58
3 13 8.30
9 19 4.01
2 6 9.50
5 14 5.71
10 12 2.98
3 6 4.38
8 18 7.97
9 15 4.84
4 11 9.20
5 8 5.15
1 3 6.36
6 17 2.42
7 13 5.60
2 16 2.42
0 11 5.44
12 17 8.10
6 13 5.64
4 17 8.69
6 9 3.92
3 8 9.61
16 18 5.13
0 9 2.36
9 17 9.60
2 15 7.62
0 2 6.52
3 12 3.49
0 13 8.41
1 12 2.83
11 13 2.49
7 8 6.79
6 12 9.66
8 10 7.89
1 11 7.59
9 16 5.07
13 15 1.06
8 12 6.97
18 19 9.90
8 9 5.01
11 19 9.79
10 15 2.18
3 16 5.91
0 15 4.75
2 13 8.10
5 9 9.77
2 17 7.86
16 17 5.56
11 15 1.89
2 3 4.38
16 19 1.42
4 14 6.30
5 13 6.16
2 8 2.38
3 10 1.47
1 19 6.20
1 7 4.59
1 14 4.63
11 17 6.70
7 15 2.33
8 14 2.31
2 4 1.54
1 10 1.17
9 10 9.04
12 16 4.80
3 18 8.41
4 8 3.98
10 11 2.63
1 9 2.53
5 17 9.53
3 19 7.65
14 17 2.04
14 16 5.91
6 10 9.72
15 16 4.51
1 4 1.75
4 7 3.18
15 18 4.84
12 15 2.74
3 5 6.15
5 7 7.73
0 6 7.07
0 12 5.98
#END#
21 210
1 13 3.71
13 14 7.20
5 12 6.49
12 16 2.80
5 15 2.49
12 20 3.63
14 19 8.09
3 13 8.99
6 12 6.05
9 11 2.30
5 18 1.37
6 19 6.61
7 12 7.50
18 20 5.75
4 12 7.22
1 19 3.83
4 11 3.53
5 13 5.43
10 18 2.18
5 10 6.85
3 4 6.48
7 13 9.68
2 19 2.55
3 10 4.06
3 16 9.76
13 20 7.98
5 19 3.57
6 15 1.84
2 6 3.30
0 13 7.28
0 14 8.12
2 12 9.91
1 5 3.74
1 2 6.64
7 19 9.21
10 11 6.98
2 17 6.65
4 18 9.65
3 11 3.61
9 15 1.51
1 18 6.44
1 4 9.94
5 14 7.65
2 8 7.23
12 17 1.30
2 7 1.08
5 16 5.95
4 7 9.68
11 16 9.14
13 16 1.14
6 11 8.34
12 13 3.13
10 13 9.87
1 8 9.15
1 14 8.34
15 20 9.65
0 10 6.76
15 19 4.54
0 5 5.85
9 16 9.59
9 12 1.18
5 20 2.60
16 17 6.21
3 19 9.47
1 10 2.04
12 14 8.00
4 15 8.69
4 13 9.46
9 19 3.99
5 9 5.08
6 13 9.66
8 15 6.04
7 18 2.01
4 19 1.28
0 6 2.49
14 15 8.96
4 20 7.90
9 10 7.24
13 15 1.71
5 17 6.65
8 18 7.39
6 7 2.10
9 17 4.34
11 13 9.98
0 1 6.13
7 17 7.89
6 17 5.54
0 18 8.18
7 15 2.30
6 16 1.07
4 6 1.83
8 9 4.69
9 13 5.81
16 18 7.03
0 15 1.46
7 20 4.24
3 18 2.00
0 8 3.85
7 11 9.23
12 19 8.77
2 3 7.80
9 20 4.96
0 7 3.31
2 14 9.96
8 16 1.32
1 12 4.07
7 16 8.87
4 16 3.15
13 17 5.18
1 3 4.52
3 9 9.90
15 17 5.33
5 6 5.09
11 12 4.11
11 19 8.11
3 7 1.83
2 11 9.94
2 5 4.30
2 13 4.15
1 9 7.45
2 4 3.41
1 15 7.70
13 19 1.71
2 20 4.86
6 8 7.02
8 14 9.86
3 17 1.73
0 3 1.84
2 9 4.60
10 15 7.85
7 9 3.19
17 18 5.32
12 18 4.86
3 6 8.55
14 17 1.40
11 15 9.43
3 5 9.49
4 14 4.23
7 8 3.87
4 9 3.35
3 14 9.05
8 13 6.31
1 16 9.95
8 20 3.45
2 18 5.21
16 20 8.99
17 19 5.20
6 9 3.04
5 7 1.13
9 14 6.39
19 20 5.28
10 19 2.31
6 18 3.96
2 16 5.42
15 16 1.58
0 4 2.00
5 8 9.03
1 7 9.51
3 15 6.50
4 17 2.55
4 8 1.69
16 19 2.98
6 10 5.14
6 20 1.64
5 11 9.63
10 17 7.42
8 17 3.90
18 19 6.76
11 17 5.69
17 20 9.29
8 19 7.27
0 9 1.42
0 17 6.72
6 14 2.46
2 15 9.66
11 20 2.57
14 18 3.35
0 12 3.57
1 11 9.84
9 18 8.06
2 10 7.30
11 18 3.00
0 16 4.84
0 19 6.67
12 15 5.88
14 16 2.47
0 11 9.65
13 18 5.67
3 12 4.04
8 12 7.62
8 10 3.16
0 2 8.38
4 10 6.30
10 16 2.26
1 17 8.99
8 11 6.08
1 20 5.58
7 14 7.81
1 6 7.75
11 14 4.81
15 18 9.65
10 20 8.68
0 20 8.00
3 8 1.50
7 10 8.94
14 20 2.13
4 5 8.22
10 12 1.73
3 20 5.09
10 14 3.74
#END#
22 231
7 13 5.59
3 14 7.93
6 18 5.81
3 5 9.02
0 16 9.04
3 12 4.45
1 3 1.71
8 14 5.56
4 20 9.54
1 12 4.72
13 19 6.01
8 11 1.81
0 13 5.09
0 11 2.38
5 9 1.17
4 7 3.81
4 9 1.22
5 13 6.05
9 20 3.22
1 9 3.02
12 13 9.41
1 7 1.85
8 15 2.03
1 16 2.77
10 19 4.20
2 18 6.39
11 18 1.81
0 12 7.59
6 11 2.88
11 16 8.47
2 3 6.00
3 13 7.39
12 19 3.17
16 20 7.63
4 14 1.04
8 17 8.43
11 15 5.93
10 11 6.87
10 12 1.89
1 19 7.12
2 10 4.50
10 20 7.63
4 12 9.27
19 20 6.15
7 21 7.34
0 9 2.76
5 14 8.12
1 6 5.39
6 15 9.85
13 15 6.97
4 16 3.03
2 20 4.11
6 12 9.54
11 13 3.99
12 18 2.68
2 12 8.22
5 10 3.40
8 16 2.71
11 12 8.70
3 11 2.69
14 17 3.53
5 8 4.54
17 18 9.68
1 14 7.86
3 7 3.59
9 19 1.59
10 14 8.34
3 10 1.06
6 9 8.73
9 15 6.72
9 18 2.51
7 18 9.19
5 17 2.30
2 17 2.40
6 17 3.17
4 18 6.39
5 15 2.52
16 18 3.18
8 13 1.09
12 16 5.71
5 7 2.34
5 21 5.49
13 20 7.43
17 21 9.45
15 21 4.11
0 10 3.34
4 13 3.70
11 19 7.16
9 21 9.42
7 9 4.54
6 10 2.54
18 20 3.54
12 14 1.30
3 9 5.76
2 15 5.57
15 17 6.86
7 10 4.14
2 11 2.50
14 21 4.76
3 8 4.80
15 16 8.84
9 11 4.13
4 19 6.75
2 16 3.84
8 9 8.23
8 19 1.18
7 15 1.84
12 17 6.73
5 16 2.87
5 18 1.79
7 16 6.62
0 15 6.68
4 8 7.34
1 15 7.34
2 5 4.73
1 10 1.91
19 21 9.82
14 20 2.53
3 4 8.76
4 11 9.25
4 10 5.96
14 15 1.67
16 19 8.39
0 19 4.23
9 10 4.18
13 18 3.10
3 6 9.22
9 13 1.70
3 20 6.09
0 14 7.39
5 12 9.92
0 8 5.19
8 21 2.13
0 20 3.87
17 19 7.90
0 2 8.35
6 21 8.45
6 13 8.13
0 17 3.75
0 21 3.72
10 18 3.55
7 19 8.44
18 21 2.97
2 19 7.04
6 19 9.96
9 17 9.48
1 17 9.22
1 11 9.89
6 14 9.81
6 20 7.10
1 20 8.80
11 21 8.67
3 21 1.98
5 6 8.57
5 20 1.48
3 15 9.47
11 20 2.81
2 14 6.77
3 17 8.44
16 21 5.07
0 5 1.88
9 12 1.96
0 18 9.28
7 11 2.03
17 20 6.33
1 21 8.96
15 18 4.15
5 19 8.39
1 5 1.98
0 3 4.61
20 21 6.81
11 17 7.68
0 1 5.88
8 18 1.26
10 15 1.58
12 15 1.31
12 21 7.76
12 20 6.37
9 14 6.22
4 21 9.37
13 21 3.70
5 11 3.12
13 17 3.50
3 19 5.52
1 2 4.75
15 20 2.12
11 14 5.33
4 6 2.60
6 16 5.33
8 20 5.97
4 17 3.46
2 8 2.72
18 19 3.59
3 18 9.88
1 18 8.63
16 17 7.95
7 14 2.75
8 12 3.15
7 20 5.31
1 13 6.66
14 16 7.61
10 16 7.70
